region,year,season,n_acq,window_h,partial,med_gap_h,p90_gap_h,drift_pairs,n_S1A,n_S1B,n_S1C,n_S1D,O6,O12,O24,O48,O72,O168,O24_lab,O12_lab,per
AKcorr_1,2016,winter,4,2184.0,0,288.0,1209.61,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,not met,not met,2016-18
AKcorr_1,2016,melt,3,2928.0,0,534.55,924.01,1,1,2,0,0,0.0,0.0,0.0,0.0163,0.0163,0.0163,not met,not met,2016-18
AKcorr_1,2016,freeze-up,16,2208.0,0,120.14,215.59,3,0,16,0,0,0.0,0.0,0.0,0.0216,0.077,0.5822,not met,not met,2016-18
AKcorr_1,2017,winter,34,2160.0,0,59.03,106.76,27,6,28,0,0,0.0,0.0,0.0924,0.1653,0.3662,0.9395,not met,not met,2016-18
AKcorr_1,2017,melt,21,2928.0,0,144.0,167.86,0,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9836,not met,not met,2016-18
AKcorr_1,2017,freeze-up,15,2208.0,0,144.0,167.86,0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9131,not met,not met,2016-18
AKcorr_1,2018,winter,15,2160.0,0,144.0,167.86,0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9333,not met,not met,2016-18
AKcorr_1,2018,melt,28,2928.0,0,72.4,167.86,8,28,0,0,0,0.0,0.0,0.0,0.1304,0.1304,0.91,not met,not met,2016-18
AKcorr_1,2018,freeze-up,22,2208.0,0,72.4,167.86,6,22,0,0,0,0.0,0.0,0.0,0.1297,0.1297,0.8698,not met,not met,2016-18
AKcorr_1,2019,winter,22,2160.0,0,72.4,167.86,7,22,0,0,0,0.0,0.0,0.0,0.1547,0.1547,0.9333,not met,not met,pre19-21
AKcorr_1,2019,melt,31,2928.0,0,72.4,167.86,10,31,0,0,0,0.0,0.0,0.0,0.163,0.163,0.9836,not met,not met,pre19-21
AKcorr_1,2019,freeze-up,21,2208.0,0,72.4,167.86,7,21,0,0,0,0.0,0.0,0.0,0.1513,0.1513,0.8042,not met,not met,pre19-21
AKcorr_1,2020,winter,25,2184.0,0,72.4,167.86,8,23,2,0,0,0.0,0.0,0.0,0.1749,0.1749,0.9781,not met,not met,pre19-21
AKcorr_1,2020,melt,25,2928.0,0,102.56,167.86,4,22,3,0,0,0.0,0.0,0.0,0.0652,0.0652,0.8279,not met,not met,pre19-21
AKcorr_1,2020,freeze-up,21,2208.0,0,72.4,167.86,5,21,0,0,0,0.0,0.0,0.0,0.1081,0.1081,0.8698,not met,not met,pre19-21
AKcorr_1,2021,winter,21,2160.0,0,72.4,167.86,7,21,0,0,0,0.0,0.0,0.0,0.1547,0.1547,0.8556,not met,not met,pre19-21
AKcorr_1,2021,melt,25,2928.0,0,120.14,167.86,3,23,2,0,0,0.0,0.0,0.0,0.0489,0.0489,0.8689,not met,not met,pre19-21
AKcorr_1,2021,freeze-up,27,2208.0,0,72.4,126.43,8,23,4,0,0,0.0,0.0,0.0,0.173,0.173,0.9347,not met,not met,pre19-21
AKcorr_1,2022,winter,21,2160.0,0,72.4,167.86,6,21,0,0,0,0.0,0.0,0.0,0.1326,0.1326,0.9333,not met,not met,during22-24
AKcorr_1,2022,melt,20,2928.0,0,120.14,167.86,0,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9263,not met,not met,during22-24
AKcorr_1,2022,freeze-up,15,2208.0,0,144.0,167.86,1,15,0,0,0,0.0,0.0,0.0,0.0216,0.0216,0.8042,not met,not met,during22-24
AKcorr_1,2023,winter,15,2160.0,0,144.0,167.86,0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9333,not met,not met,during22-24
AKcorr_1,2023,melt,21,2928.0,0,144.0,167.86,0,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9836,not met,not met,during22-24
AKcorr_1,2023,freeze-up,15,2208.0,0,144.0,167.86,0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9131,not met,not met,during22-24
AKcorr_1,2024,winter,18,2184.0,0,72.4,196.82,6,18,0,0,0,0.0,0.0,0.0,0.1311,0.1311,0.6043,not met,not met,during22-24
AKcorr_1,2024,melt,24,2928.0,0,120.14,167.86,5,24,0,0,0,0.0,0.0,0.0,0.0815,0.0815,0.8032,not met,not met,during22-24
AKcorr_1,2024,freeze-up,21,2208.0,0,72.4,167.86,6,21,0,0,0,0.0,0.0,0.0,0.1297,0.1297,0.8154,not met,not met,during22-24
AKcorr_1,2025,winter,22,2160.0,0,72.4,167.86,8,22,0,0,0,0.0,0.0,0.0,0.1768,0.1768,0.8442,not met,not met,post25-26
AKcorr_1,2025,melt,32,2928.0,0,84.99,120.14,3,23,0,9,0,0.0,0.0,0.0,0.0489,0.0489,0.9546,not met,not met,post25-26
AKcorr_1,2025,freeze-up,30,2208.0,0,72.4,84.99,8,24,0,6,0,0.0,0.0,0.0,0.173,0.173,0.9675,not met,not met,post25-26
AKcorr_1,2026,winter,27,2160.0,0,82.87,84.99,6,19,0,8,0,0.0,0.0,0.0,0.1326,0.1326,0.8394,not met,not met,post25-26
AKcorr_1,2026,melt,21,2327.8,1,84.98,122.52,1,0,0,7,14,0.0,0.0,0.0,0.0103,0.0103,0.7789,not met,not met,post25-26
AKcorr_2,2016,winter,6,2184.0,0,288.0,460.8,0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,not met,not met,2016-18
AKcorr_2,2016,melt,3,2928.0,0,359.99,532.8,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0492,not met,not met,2016-18
AKcorr_2,2016,freeze-up,14,2208.0,0,120.14,278.45,7,0,14,0,0,0.0,0.0,0.0121,0.0493,0.077,0.3646,not met,not met,2016-18
AKcorr_2,2017,winter,31,2160.0,0,61.1,108.1,24,6,25,0,0,0.0,0.0,0.0924,0.1476,0.2656,0.7294,not met,not met,2016-18
AKcorr_2,2017,melt,21,2928.0,0,144.0,167.86,0,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9836,not met,not met,2016-18
