region,season,year,n_cells,n_acq_med,H_episode3,H_episode5,H_state3,H_state5,O24,O12,H_state3_lo,H_state3_hi
AKcorr_1,freeze-up,2016,33,17.0,0.1031,0.1377,0.4442,0.4697,0.0076,0.0003,0.4329,0.456
AKcorr_1,freeze-up,2017,33,22.0,0.1139,0.1526,0.4749,0.5018,0.0265,0.0,0.4654,0.4839
AKcorr_1,freeze-up,2018,33,29.0,0.1435,0.192,0.5162,0.5444,0.0459,0.0,0.5063,0.5263
AKcorr_1,freeze-up,2019,33,29.0,0.1493,0.1994,0.5181,0.546,0.0563,0.0,0.5057,0.5296
AKcorr_1,freeze-up,2020,33,27.0,0.139,0.1859,0.5084,0.5362,0.0498,0.0,0.4978,0.5188
AKcorr_1,freeze-up,2021,33,31.0,0.1691,0.226,0.556,0.5857,0.0517,0.0,0.544,0.5663
AKcorr_1,freeze-up,2022,33,15.0,0.1029,0.1384,0.4593,0.4858,0.0,0.0,0.4467,0.4724
AKcorr_1,freeze-up,2023,33,15.0,0.1033,0.139,0.465,0.492,0.0,0.0,0.4537,0.4764
AKcorr_1,freeze-up,2024,33,21.0,0.1281,0.1722,0.5001,0.5283,0.0,0.0,0.4905,0.5111
AKcorr_1,freeze-up,2025,33,38.0,0.1903,0.2539,0.5905,0.6217,0.0646,0.0017,0.5822,0.5983
AKcorr_1,melt,2016,33,4.0,0.029,0.0409,0.1286,0.1576,0.0002,0.0,0.1132,0.1447
AKcorr_1,melt,2017,33,31.0,0.1021,0.1429,0.3395,0.4109,0.0311,0.0,0.3313,0.3473
AKcorr_1,melt,2018,33,38.0,0.1297,0.181,0.3747,0.4492,0.0501,0.0,0.3676,0.3826
AKcorr_1,melt,2019,33,41.0,0.1339,0.1869,0.3803,0.4554,0.0558,0.0,0.3722,0.3887
AKcorr_1,melt,2020,33,32.0,0.1155,0.1614,0.3549,0.4272,0.0343,0.0,0.3463,0.363
AKcorr_1,melt,2021,33,33.0,0.1161,0.1624,0.3585,0.4317,0.0358,0.0,0.3493,0.3665
AKcorr_1,melt,2022,33,20.0,0.0906,0.1276,0.3282,0.399,0.0,0.0,0.3192,0.3373
AKcorr_1,melt,2023,33,21.0,0.0888,0.1251,0.3251,0.3955,0.0,0.0,0.3163,0.3341
AKcorr_1,melt,2024,33,24.0,0.0971,0.1367,0.3299,0.3992,0.0,0.0,0.3212,0.339
AKcorr_1,melt,2025,33,41.0,0.1433,0.2002,0.4044,0.4839,0.0371,0.0005,0.3993,0.4092
AKcorr_1,melt,2026,33,21.0,0.1117,0.1561,0.3558,0.4291,0.0233,0.0017,0.3501,0.363
AKcorr_1,winter,2016,33,3.0,0.0251,0.0301,0.1563,0.1773,0.0,0.0,0.1345,0.1792
AKcorr_1,winter,2017,33,33.0,0.1928,0.2265,0.4934,0.5352,0.0753,0.0016,0.4801,0.5058
AKcorr_1,winter,2018,33,22.0,0.1247,0.1487,0.4129,0.4542,0.0315,0.0,0.4037,0.4209
AKcorr_1,winter,2019,33,29.0,0.1665,0.1982,0.469,0.5109,0.0563,0.0,0.4579,0.4808
AKcorr_1,winter,2020,33,31.0,0.1712,0.2037,0.4735,0.5153,0.0609,0.0,0.4631,0.484
AKcorr_1,winter,2021,33,28.0,0.1697,0.2019,0.4738,0.5158,0.0522,0.0,0.4631,0.4844
AKcorr_1,winter,2022,33,21.0,0.1464,0.1753,0.451,0.4932,0.0,0.0,0.4402,0.4632
AKcorr_1,winter,2023,33,15.0,0.1139,0.1364,0.4047,0.4462,0.0,0.0,0.3927,0.4168
AKcorr_1,winter,2024,33,18.0,0.1369,0.1639,0.4288,0.4699,0.0,0.0,0.4184,0.4393
AKcorr_1,winter,2025,33,23.0,0.1466,0.1753,0.4437,0.4851,0.0047,0.0,0.4311,0.4563
AKcorr_1,winter,2026,33,33.0,0.1964,0.2337,0.5181,0.561,0.0492,0.0024,0.5094,0.5254
AKcorr_2,freeze-up,2016,39,18.0,0.1077,0.1429,0.4331,0.4574,0.0133,0.0001,0.4204,0.4462
AKcorr_2,freeze-up,2017,39,22.0,0.1226,0.1642,0.487,0.5143,0.0252,0.0,0.4744,0.4986
AKcorr_2,freeze-up,2018,39,29.0,0.1515,0.2027,0.5299,0.5586,0.046,0.0,0.5195,0.5401
AKcorr_2,freeze-up,2019,39,30.0,0.1691,0.2258,0.5512,0.5805,0.0654,0.0,0.5365,0.5652
AKcorr_2,freeze-up,2020,39,29.0,0.1546,0.2066,0.5326,0.5614,0.0561,0.0004,0.5212,0.5451
AKcorr_2,freeze-up,2021,39,31.0,0.1768,0.2362,0.5655,0.5953,0.061,0.0,0.5519,0.5793
AKcorr_2,freeze-up,2022,39,22.0,0.1086,0.1461,0.4716,0.4988,0.0,0.0,0.4594,0.4834
AKcorr_2,freeze-up,2023,39,21.0,0.1151,0.1549,0.4854,0.5133,0.0,0.0,0.4714,0.5001
AKcorr_2,freeze-up,2024,39,27.0,0.1353,0.1819,0.5145,0.5434,0.0,0.0,0.5032,0.5273
AKcorr_2,freeze-up,2025,39,38.0,0.1992,0.2655,0.6037,0.6353,0.0465,0.0066,0.5947,0.6131
AKcorr_2,melt,2016,39,4.0,0.0347,0.0488,0.1643,0.2019,0.0,0.0,0.1594,0.1694
AKcorr_2,melt,2017,39,32.0,0.1092,0.1528,0.3488,0.421,0.0299,0.0,0.3387,0.3583
AKcorr_2,melt,2018,39,38.0,0.1321,0.1843,0.3777,0.4524,0.0489,0.0,0.369,0.3855
AKcorr_2,melt,2019,39,41.0,0.1399,0.1952,0.389,0.465,0.0593,0.0,0.3808,0.397
AKcorr_2,melt,2020,39,32.0,0.1154,0.1612,0.3531,0.425,0.0408,0.0,0.3451,0.3607
AKcorr_2,melt,2021,39,33.0,0.1248,0.1744,0.37,0.4443,0.0401,0.0,0.3587,0.3806
AKcorr_2,melt,2022,39,24.0,0.0918,0.1293,0.3309,0.4021,0.0,0.0,0.3233,0.3386
AKcorr_2,melt,2023,39,26.0,0.093,0.131,0.3321,0.4033,0.0,0.0,0.3234,0.3405
AKcorr_2,melt,2024,39,27.0,0.0984,0.1385,0.3321,0.4017,0.0,0.0,0.3246,0.3404
AKcorr_2,melt,2025,39,41.0,0.1498,0.2092,0.4122,0.4922,0.0267,0.0025,0.4046,0.4197
AKcorr_2,melt,2026,39,28.0,0.1222,0.1699,0.3686,0.443,0.0212,0.0063,0.3622,0.3751
AKcorr_2,winter,2016,39,6.0,0.0377,0.0452,0.2203,0.2497,0.0,0.0,0.2153,0.2231
AKcorr_2,winter,2017,39,36.0,0.2115,0.2472,0.5112,0.5527,0.0897,0.0044,0.5034,0.5191
AKcorr_2,winter,2018,39,23.0,0.1311,0.1564,0.4217,0.463,0.0295,0.0,0.4113,0.4316
AKcorr_2,winter,2019,39,29.0,0.1791,0.2133,0.489,0.5314,0.0555,0.0,0.4765,0.5009
AKcorr_2,winter,2020,39,31.0,0.1809,0.2151,0.4864,0.5284,0.0714,0.0,0.4751,0.4986
AKcorr_2,winter,2021,39,29.0,0.185,0.2202,0.4955,0.5378,0.0626,0.0,0.4823,0.5093
AKcorr_2,winter,2022,39,28.0,0.1535,0.1838,0.4634,0.506,0.0,0.0,0.4522,0.474
AKcorr_2,winter,2023,39,23.0,0.1241,0.1486,0.4216,0.4635,0.0,0.0,0.4071,0.4357
AKcorr_2,winter,2024,39,24.0,0.1435,0.1718,0.4409,0.4823,0.0,0.0,0.4304,0.4508
AKcorr_2,winter,2025,39,29.0,0.1567,0.1874,0.4629,0.505,0.0045,0.0,0.4519,0.4738
AKcorr_2,winter,2026,39,34.0,0.2077,0.2466,0.5304,0.5734,0.0393,0.0087,0.5213,0.5408
AKcorr_3,freeze-up,2016,44,24.0,0.1298,0.1722,0.4742,0.5003,0.0163,0.0,0.4625,0.4852
AKcorr_3,freeze-up,2017,44,30.0,0.1523,0.2043,0.5369,0.5663,0.0052,0.0,0.5262,0.5459
AKcorr_3,freeze-up,2018,44,31.0,0.1677,0.2247,0.5605,0.5908,0.0248,0.0,0.5517,0.5688
AKcorr_3,freeze-up,2019,44,42.0,0.2183,0.2904,0.6155,0.6463,0.1159,0.0001,0.603,0.6279
AKcorr_3,freeze-up,2020,44,39.0,0.2,0.266,0.5933,0.6237,0.0886,0.0034,0.5797,0.6045
AKcorr_3,freeze-up,2021,44,45.0,0.2294,0.3054,0.6334,0.6649,0.1054,0.0,0.6196,0.6452
AKcorr_3,freeze-up,2022,44,22.0,0.1201,0.1615,0.4938,0.522,0.0,0.0,0.4854,0.5008
AKcorr_3,freeze-up,2023,44,29.0,0.1515,0.2035,0.544,0.5743,0.0,0.0,0.532,0.555
AKcorr_3,freeze-up,2024,44,27.0,0.1452,0.1952,0.5342,0.5641,0.0,0.0,0.5257,0.5424
AKcorr_3,freeze-up,2025,44,53.0,0.2673,0.353,0.6713,0.7031,0.1248,0.0078,0.6567,0.6856
AKcorr_3,melt,2016,44,4.0,0.0282,0.0397,0.1468,0.181,0.0,0.0,0.1419,0.1515
AKcorr_3,melt,2017,44,40.0,0.1345,0.1887,0.3885,0.4657,0.0061,0.0,0.3803,0.3959
AKcorr_3,melt,2018,44,39.5,0.1378,0.1934,0.3929,0.4702,0.01,0.0,0.3839,0.402
AKcorr_3,melt,2019,44,48.0,0.1608,0.224,0.4166,0.4955,0.0685,0.0,0.4094,0.4236
