region,season,year,subset,nsat,H_state3
AKcorr_1,freeze-up,2019,A,1,0.5086433544748491
AKcorr_1,freeze-up,2019,AB,2,0.5181231313688323
AKcorr_1,freeze-up,2019,B,1,0.20290551686638417
AKcorr_1,freeze-up,2020,A,1,0.4957839031200675
AKcorr_1,freeze-up,2020,AB,2,0.5083521499920639
AKcorr_1,freeze-up,2020,B,1,0.11325559176217972
AKcorr_1,freeze-up,2021,A,1,0.524985178976949
AKcorr_1,freeze-up,2021,AB,2,0.5559963209544048
AKcorr_1,freeze-up,2021,B,1,0.24326110136638746
AKcorr_1,freeze-up,2025,A,1,0.5260153375811264
AKcorr_1,freeze-up,2025,AC,2,0.5905263663851095
AKcorr_1,freeze-up,2025,C,1,0.31456644634310915
AKcorr_1,melt,2019,A,1,0.37552746195005016
AKcorr_1,melt,2019,AB,2,0.3830369150935112
AKcorr_1,melt,2019,B,1,0.1318127398523666
AKcorr_1,melt,2020,A,1,0.33204590175852944
AKcorr_1,melt,2020,AB,2,0.35745275889787576
AKcorr_1,melt,2020,B,1,0.17102958404529056
AKcorr_1,melt,2021,A,1,0.34258935480853514
AKcorr_1,melt,2021,AB,2,0.3612258902067082
AKcorr_1,melt,2021,B,1,0.16815154933280152
AKcorr_1,melt,2025,A,1,0.34275115210558765
AKcorr_1,melt,2025,AC,2,0.407644995903533
AKcorr_1,melt,2025,C,1,0.21475983817179156
AKcorr_1,melt,2026,A,1,0.0
AKcorr_1,melt,2026,AC,2,0.20869877856972158
AKcorr_1,melt,2026,ACD,3,0.3585227863602933
AKcorr_1,melt,2026,AD,2,0.2851351077933825
AKcorr_1,melt,2026,C,1,0.20869877856972158
AKcorr_1,melt,2026,CD,2,0.3585227863602933
AKcorr_1,melt,2026,D,1,0.2851351077933825
AKcorr_1,winter,2019,A,1,0.45862316648009216
AKcorr_1,winter,2019,AB,2,0.4690191275158896
AKcorr_1,winter,2019,B,1,0.1772604939465948
AKcorr_1,winter,2020,A,1,0.4502949119476915
AKcorr_1,winter,2020,AB,2,0.4734806730337838
AKcorr_1,winter,2020,B,1,0.22078616262956974
AKcorr_1,winter,2021,A,1,0.4633143951569414
AKcorr_1,winter,2021,AB,2,0.4737659378046557
AKcorr_1,winter,2021,B,1,0.09328039498130743
AKcorr_1,winter,2025,A,1,0.442827222100768
AKcorr_1,winter,2025,AC,2,0.4436717018449748
AKcorr_1,winter,2025,C,1,0.0
AKcorr_1,winter,2026,A,1,0.4373664740544869
AKcorr_1,winter,2026,AC,2,0.5180730252301071
AKcorr_1,winter,2026,ACD,3,0.5180730252301071
AKcorr_1,winter,2026,AD,2,0.4373664740544869
AKcorr_1,winter,2026,C,1,0.29105650164144276
AKcorr_1,winter,2026,CD,2,0.29105650164144276
AKcorr_1,winter,2026,D,1,0.0
AKcorr_2,freeze-up,2019,A,1,0.5291841012602667
AKcorr_2,freeze-up,2019,AB,2,0.5512461080653518
AKcorr_2,freeze-up,2019,B,1,0.19833945537748546
AKcorr_2,freeze-up,2020,A,1,0.5083091786152684
AKcorr_2,freeze-up,2020,AB,2,0.5326215535064914
AKcorr_2,freeze-up,2020,B,1,0.17973945563141044
AKcorr_2,freeze-up,2021,A,1,0.5373300383557266
AKcorr_2,freeze-up,2021,AB,2,0.5654720544828415
AKcorr_2,freeze-up,2021,B,1,0.22388570608561612
AKcorr_2,freeze-up,2025,A,1,0.5398762788358229
AKcorr_2,freeze-up,2025,AC,2,0.6036938469966658
AKcorr_2,freeze-up,2025,C,1,0.3228728083773718
AKcorr_2,melt,2019,A,1,0.38076538759872075
AKcorr_2,melt,2019,AB,2,0.39174142230524006
AKcorr_2,melt,2019,B,1,0.1340245591189711
AKcorr_2,melt,2020,A,1,0.3354721195221067
AKcorr_2,melt,2020,AB,2,0.3556268146549356
AKcorr_2,melt,2020,B,1,0.1421937691287034
AKcorr_2,melt,2021,A,1,0.34734376353236446
AKcorr_2,melt,2021,AB,2,0.3727385951260248
AKcorr_2,melt,2021,B,1,0.1446178480170498
AKcorr_2,melt,2025,A,1,0.34765891933025744
AKcorr_2,melt,2025,AC,2,0.41543764738793304
AKcorr_2,melt,2025,C,1,0.22032898041512275
AKcorr_2,melt,2026,A,1,0.0
AKcorr_2,melt,2026,AC,2,0.21367203896456438
AKcorr_2,melt,2026,ACD,3,0.3714010798934194
AKcorr_2,melt,2026,AD,2,0.30200291722132266
AKcorr_2,melt,2026,C,1,0.21367203896456438
AKcorr_2,melt,2026,CD,2,0.3714010798934194
AKcorr_2,melt,2026,D,1,0.30200291722132266
AKcorr_2,winter,2019,A,1,0.471603824350763
AKcorr_2,winter,2019,AB,2,0.48904282862709525
AKcorr_2,winter,2019,B,1,0.14083990348685252
AKcorr_2,winter,2020,A,1,0.4618943516349803
AKcorr_2,winter,2020,AB,2,0.4863856896993866
