year,season,days_avail,days_total,mean_frac,region,availability
2019,freeze-up,3,92,0.005372670807453417,KaraGate,0.03260869565217391
2019,melt,0,122,0.0,KaraGate,0.0
2019,winter,5,90,0.008476190476190477,KaraGate,0.05555555555555555
2020,freeze-up,0,92,0.0,KaraGate,0.0
2020,melt,0,122,0.0,KaraGate,0.0
2020,winter,10,91,0.023987441130298274,KaraGate,0.10989010989010989
2021,freeze-up,1,92,0.0015838509316770187,KaraGate,0.010869565217391304
2021,melt,1,122,0.001053864168618267,KaraGate,0.00819672131147541
2021,winter,27,90,0.07882539682539683,KaraGate,0.3
2022,freeze-up,0,92,0.0,KaraGate,0.0
2022,melt,0,122,0.0,KaraGate,0.0
2022,winter,0,90,0.00028571428571428574,KaraGate,0.0
2023,freeze-up,0,92,0.0,KaraGate,0.0
2023,melt,0,122,0.0,KaraGate,0.0
2023,winter,0,90,0.0,KaraGate,0.0
2024,freeze-up,0,92,0.0,KaraGate,0.0
2024,melt,0,122,0.0,KaraGate,0.0
2024,winter,0,91,0.0,KaraGate,0.0
2025,freeze-up,0,32,0.0,KaraGate,0.0
2025,melt,0,122,0.0,KaraGate,0.0
2025,winter,0,90,0.0,KaraGate,0.0
2019,freeze-up,0,92,0.0,Vilkitsky,0.0
2019,melt,0,122,0.0,Vilkitsky,0.0
2019,winter,2,90,0.007996632996632997,Vilkitsky,0.022222222222222223
2020,freeze-up,2,92,0.00497364953886693,Vilkitsky,0.021739130434782608
2020,melt,2,122,0.0020864381520119225,Vilkitsky,0.01639344262295082
2020,winter,0,91,0.0,Vilkitsky,0.0
2021,freeze-up,4,92,0.010951910408432148,Vilkitsky,0.043478260869565216
2021,melt,0,122,0.0,Vilkitsky,0.0
2021,winter,11,90,0.039696969696969696,Vilkitsky,0.12222222222222222
2022,freeze-up,1,92,0.002388010540184453,Vilkitsky,0.010869565217391304
2022,melt,0,122,0.0,Vilkitsky,0.0
2022,winter,2,90,0.002053872053872054,Vilkitsky,0.022222222222222223
2023,freeze-up,0,92,0.0,Vilkitsky,0.0
2023,melt,0,122,0.0,Vilkitsky,0.0
2023,winter,0,90,0.0,Vilkitsky,0.0
2024,freeze-up,0,92,0.0,Vilkitsky,0.0
2024,melt,0,122,0.0,Vilkitsky,0.0
2024,winter,0,91,0.0,Vilkitsky,0.0
2025,freeze-up,0,32,0.0,Vilkitsky,0.0
2025,melt,3,122,0.006408345752608047,Vilkitsky,0.02459016393442623
2025,winter,0,90,0.0,Vilkitsky,0.0
2019,freeze-up,7,92,0.025733695652173916,Sannikov_DmLaptev,0.07608695652173914
2019,melt,1,122,0.001877049180327869,Sannikov_DmLaptev,0.00819672131147541
2019,winter,32,90,0.11251666666666667,Sannikov_DmLaptev,0.35555555555555557
2020,freeze-up,1,92,0.0017065217391304347,Sannikov_DmLaptev,0.010869565217391304
2020,melt,2,122,0.0056803278688524585,Sannikov_DmLaptev,0.01639344262295082
2020,winter,8,91,0.032104395604395604,Sannikov_DmLaptev,0.08791208791208792
2021,freeze-up,5,92,0.008684782608695653,Sannikov_DmLaptev,0.05434782608695652
2021,melt,0,122,0.0003811475409836066,Sannikov_DmLaptev,0.0
2021,winter,3,90,0.006716666666666667,Sannikov_DmLaptev,0.03333333333333333
2022,freeze-up,0,92,0.0,Sannikov_DmLaptev,0.0
2022,melt,0,122,4.508196721311475e-05,Sannikov_DmLaptev,0.0
2022,winter,5,90,0.006683333333333334,Sannikov_DmLaptev,0.05555555555555555
2023,freeze-up,1,92,0.0006956521739130435,Sannikov_DmLaptev,0.010869565217391304
2023,melt,0,122,0.0,Sannikov_DmLaptev,0.0
2023,winter,4,90,0.005716666666666666,Sannikov_DmLaptev,0.044444444444444446
2024,freeze-up,6,92,0.0070543478260869565,Sannikov_DmLaptev,0.06521739130434782
2024,melt,0,122,0.0,Sannikov_DmLaptev,0.0
2024,winter,0,91,0.0,Sannikov_DmLaptev,0.0
2025,freeze-up,0,32,0.0,Sannikov_DmLaptev,0.0
2025,melt,0,122,0.0002459016393442623,Sannikov_DmLaptev,0.0
2025,winter,7,90,0.010466666666666668,Sannikov_DmLaptev,0.07777777777777778
2019,freeze-up,9,92,0.013579710144927537,LongStrait,0.09782608695652174
2019,melt,0,122,0.000546448087431694,LongStrait,0.0
2019,winter,27,90,0.09262222222222223,LongStrait,0.3
2020,freeze-up,0,92,0.00026086956521739134,LongStrait,0.0
2020,melt,0,122,0.00012021857923497267,LongStrait,0.0
