plat,month,n
A,2016-01,912
A,2016-02,832
A,2016-03,789
A,2016-04,806
A,2016-05,837
A,2016-06,482
A,2016-07,785
A,2016-08,854
A,2016-09,731
A,2016-10,768
A,2016-11,683
A,2016-12,753
A,2017-01,686
A,2017-02,594
A,2017-03,697
A,2017-04,736
A,2017-05,731
A,2017-06,642
A,2017-07,637
A,2017-08,630
A,2017-09,630
A,2017-10,614
A,2017-11,621
A,2017-12,650
A,2018-01,675
A,2018-02,592
A,2018-03,619
A,2018-04,577
A,2018-05,590
A,2018-06,525
A,2018-07,577
A,2018-08,839
A,2018-09,855
A,2018-10,903
A,2018-11,921
A,2018-12,963
A,2019-01,745
A,2019-02,657
A,2019-03,723
A,2019-04,679
A,2019-05,597
A,2019-06,596
A,2019-07,550
A,2019-08,682
A,2019-09,669
A,2019-10,695
A,2019-11,682
A,2019-12,690
A,2020-01,704
A,2020-02,633
A,2020-03,689
A,2020-04,657
A,2020-05,558
A,2020-06,505
A,2020-07,550
A,2020-08,683
A,2020-09,678
A,2020-10,712
A,2020-11,654
A,2020-12,674
A,2021-01,718
A,2021-02,652
A,2021-03,712
A,2021-04,708
A,2021-05,588
A,2021-06,538
A,2021-07,556
A,2021-08,700
A,2021-09,652
A,2021-10,731
A,2021-11,627
A,2021-12,715
A,2022-01,753
A,2022-02,632
A,2022-03,643
A,2022-04,602
A,2022-05,518
A,2022-06,476
A,2022-07,524
A,2022-08,594
A,2022-09,631
A,2022-10,600
A,2022-11,642
A,2022-12,631
A,2023-01,650
A,2023-02,583
A,2023-03,676
A,2023-04,649
A,2023-05,536
A,2023-06,492
A,2023-07,528
A,2023-08,618
A,2023-09,640
A,2023-10,632
A,2023-11,602
A,2023-12,642
A,2024-01,590
A,2024-02,616
A,2024-03,696
A,2024-04,646
A,2024-05,559
A,2024-06,502
A,2024-07,522
A,2024-08,620
A,2024-09,684
A,2024-10,667
A,2024-11,688
A,2024-12,685
A,2025-01,711
A,2025-02,617
A,2025-03,709
A,2025-04,653
A,2025-05,578
A,2025-06,518
A,2025-07,530
A,2025-08,660
A,2025-09,665
A,2025-10,740
A,2025-11,698
A,2025-12,742
A,2026-01,621
A,2026-02,627
A,2026-03,726
A,2026-04,657
A,2026-05,501
A,2026-06,445
B,2016-09,151
B,2016-10,596
B,2016-11,621
B,2016-12,771
B,2017-01,753
B,2017-02,707
B,2017-03,775
B,2017-04,740
B,2017-05,705
B,2017-06,585
B,2017-07,619
B,2017-08,588
B,2017-09,562
B,2017-10,584
B,2017-11,554
B,2017-12,644
B,2018-01,642
B,2018-02,565
B,2018-03,619
B,2018-04,581
B,2018-05,583
B,2018-06,530
B,2018-07,498
B,2018-08,664
B,2018-09,741
B,2018-10,797
B,2018-11,822
B,2018-12,934
B,2019-01,669
B,2019-02,598
B,2019-03,661
B,2019-04,665
B,2019-05,569
B,2019-06,517
B,2019-07,542
B,2019-08,690
B,2019-09,686
B,2019-10,693
B,2019-11,718
B,2019-12,702
B,2020-01,727
B,2020-02,651
B,2020-03,711
B,2020-04,698
B,2020-05,562
B,2020-06,524
B,2020-07,530
B,2020-08,693
B,2020-09,701
B,2020-10,727
B,2020-11,659
B,2020-12,711
B,2021-01,694
B,2021-02,624
B,2021-03,699
B,2021-04,688
B,2021-05,596
B,2021-06,543
B,2021-07,566
B,2021-08,675
B,2021-09,685
B,2021-10,708
B,2021-11,675
B,2021-12,506
C,2025-03,72
C,2025-04,532
C,2025-05,514
C,2025-06,549
C,2025-07,556
C,2025-08,636
C,2025-09,629
C,2025-10,683
C,2025-11,586
C,2025-12,642
C,2026-01,615
C,2026-02,557
C,2026-03,636
C,2026-04,603
C,2026-05,652
C,2026-06,311
C,2026-07,606
C,2026-08,632
C,2026-09,90
D,2026-04,279
D,2026-05,618
D,2026-06,559
D,2026-07,563
D,2026-08,576
D,2026-09,94
