region,year,mode,planned
AKcorr_1,2019,EW,183
AKcorr_1,2019,IW,435
AKcorr_1,2020,EW,110
AKcorr_1,2020,IW,388
AKcorr_1,2021,EW,82
AKcorr_1,2021,IW,298
AKcorr_1,2022,EW,2
AKcorr_1,2022,IW,8
AKcorr_1,2025,EW,148
AKcorr_1,2025,IW,540
AKcorr_1,2026,EW,1
AKcorr_1,2026,IW,10
AKcorr_2,2019,EW,183
AKcorr_2,2019,IW,361
AKcorr_2,2020,EW,110
AKcorr_2,2020,IW,310
AKcorr_2,2021,EW,82
AKcorr_2,2021,IW,231
AKcorr_2,2022,EW,2
AKcorr_2,2022,IW,6
AKcorr_2,2025,EW,148
AKcorr_2,2025,IW,485
AKcorr_2,2026,EW,1
AKcorr_2,2026,IW,9
AKcorr_3,2019,EW,260
AKcorr_3,2019,IW,585
AKcorr_3,2020,EW,218
AKcorr_3,2020,IW,494
AKcorr_3,2021,EW,169
AKcorr_3,2021,IW,425
AKcorr_3,2022,EW,4
AKcorr_3,2022,IW,12
AKcorr_3,2025,EW,285
AKcorr_3,2025,IW,774
AKcorr_3,2026,EW,9
AKcorr_3,2026,IW,15
AKcorr_4,2019,EW,260
AKcorr_4,2019,IW,603
AKcorr_4,2020,EW,218
AKcorr_4,2020,IW,494
AKcorr_4,2021,EW,169
AKcorr_4,2021,IW,425
AKcorr_4,2022,EW,4
AKcorr_4,2022,IW,12
AKcorr_4,2025,EW,285
AKcorr_4,2025,IW,673
AKcorr_4,2026,EW,9
AKcorr_4,2026,IW,10
AKcorr_5,2019,EW,325
AKcorr_5,2019,IW,24
AKcorr_5,2020,EW,273
AKcorr_5,2021,EW,201
AKcorr_5,2022,EW,4
AKcorr_5,2025,EW,321
AKcorr_5,2025,IW,107
AKcorr_5,2026,EW,7
AKcorr_5,2026,IW,5
AKcorr_6,2019,EW,610
AKcorr_6,2019,IW,165
AKcorr_6,2020,EW,438
AKcorr_6,2020,IW,177
AKcorr_6,2021,EW,325
AKcorr_6,2021,IW,165
AKcorr_6,2022,EW,11
AKcorr_6,2022,IW,3
AKcorr_6,2025,EW,491
AKcorr_6,2025,IW,286
AKcorr_6,2026,EW,13
AKcorr_6,2026,IW,13
BaffinBay,2019,EW,2133
BaffinBay,2019,IW,27
BaffinBay,2020,EW,1621
BaffinBay,2020,IW,54
BaffinBay,2021,EW,1601
BaffinBay,2021,IW,49
BaffinBay,2022,EW,23
BaffinBay,2022,IW,13
BaffinBay,2025,EW,2107
BaffinBay,2025,IW,254
BaffinBay,2026,EW,51
BaffinBay,2026,IW,7
Barents_Svalbard,2019,EW,2032
Barents_Svalbard,2020,EW,1690
Barents_Svalbard,2021,EW,1408
Barents_Svalbard,2022,EW,35
Barents_Svalbard,2025,EW,961
Barents_Svalbard,2026,EW,16
BeringChukchi,2019,EW,201
BeringChukchi,2019,IW,361
BeringChukchi,2020,EW,131
BeringChukchi,2020,IW,310
BeringChukchi,2021,EW,82
BeringChukchi,2021,IW,231
BeringChukchi,2022,EW,4
BeringChukchi,2022,IW,6
BeringChukchi,2025,EW,168
BeringChukchi,2025,IW,484
BeringChukchi,2026,EW,1
BeringChukchi,2026,IW,9
GreenlandSea_Fram,2019,EW,3525
GreenlandSea_Fram,2020,EW,2929
GreenlandSea_Fram,2021,EW,2308
GreenlandSea_Fram,2022,EW,52
GreenlandSea_Fram,2025,EW,2649
GreenlandSea_Fram,2026,EW,54
KaraGate,2019,EW,948
KaraGate,2019,IW,102
KaraGate,2020,EW,829
KaraGate,2020,IW,123
KaraGate,2021,EW,671
KaraGate,2021,IW,109
KaraGate,2022,EW,16
KaraGate,2022,IW,4
KaraGate,2025,EW,724
KaraGate,2025,IW,72
KaraGate,2026,EW,14
KaraGate,2026,IW,5
LancasterSound,2019,EW,1872
LancasterSound,2019,IW,404
LancasterSound,2020,EW,1587
LancasterSound,2020,IW,356
LancasterSound,2021,EW,1227
LancasterSound,2021,IW,263
LancasterSound,2022,EW,33
LancasterSound,2022,IW,7
LancasterSound,2025,EW,1415
LancasterSound,2025,IW,371
LancasterSound,2026,EW,39
LancasterSound,2026,IW,4
LongStrait,2019,EW,733
LongStrait,2020,EW,445
