region,planned_pre_per_yr,planned_2025,pct,sector
AKcorr_1,498.6666666666667,688,138.0,NAM
AKcorr_2,425.6666666666667,633,148.7,NAM
AKcorr_3,717.0,1059,147.7,NAM
AKcorr_4,723.0,958,132.5,NAM
AKcorr_5,274.3333333333333,428,156.0,NAM
AKcorr_6,626.6666666666666,777,124.0,NAM
BaffinBay,1828.3333333333333,2361,129.1,NAM
Barents_Svalbard,1710.0,961,56.2,EUR
BeringChukchi,438.6666666666667,652,148.6,NAM
GreenlandSea_Fram,2920.6666666666665,2649,90.7,EUR
KaraGate,927.3333333333334,796,85.8,EUR
LancasterSound,1903.0,1786,93.9,NAM
LongStrait,539.3333333333334,552,102.3,EUR
Sannikov_DmLaptev,570.0,509,89.3,EUR
VictoriaStrait,1085.6666666666667,1075,99.0,NAM
Vilkitsky,494.6666666666667,721,145.8,EUR
