event,pair,region,season,year,date,area_km2,centroid_dist_km,frac_pix_within_5km,EDGE_SUSPECT,inside_overlap,overlap_area_km2
E001,1,Vilkitsky,winter,2019,2019-01-05,125.0,76.73,0.0,False,True,63673.0
E002,1,Vilkitsky,winter,2019,2019-01-05,125.0,18.94,0.0,False,True,63673.0
E003,3,Sannikov_DmLaptev,winter,2019,2019-01-01,100.0,135.51,0.0,False,True,129396.0
E004,3,Sannikov_DmLaptev,winter,2019,2019-01-01,700.0,38.4,0.0,False,True,129396.0
E005,3,Sannikov_DmLaptev,winter,2019,2019-01-01,400.0,34.93,0.0,False,True,129396.0
E006,7,Vilkitsky,winter,2019,2019-01-17,100.0,63.34,0.0,False,True,63685.0
E007,7,Vilkitsky,winter,2019,2019-01-17,225.0,62.85,0.0,False,True,63685.0
E008,7,Vilkitsky,winter,2019,2019-01-17,100.0,68.45,0.0,False,True,63685.0
E009,7,Vilkitsky,winter,2019,2019-01-17,325.0,50.13,0.0,False,True,63685.0
E010,9,Sannikov_DmLaptev,winter,2019,2019-01-13,400.0,32.44,0.0,False,True,129376.0
E011,9,Sannikov_DmLaptev,winter,2019,2019-01-13,100.0,46.02,0.0,False,True,129376.0
E012,9,Sannikov_DmLaptev,winter,2019,2019-01-13,450.0,37.57,0.0,False,True,129376.0
E013,9,Sannikov_DmLaptev,winter,2019,2019-01-13,100.0,34.31,0.0,False,True,129376.0
E014,9,Sannikov_DmLaptev,winter,2019,2019-01-13,125.0,101.4,0.0,False,True,129376.0
E015,9,Sannikov_DmLaptev,winter,2019,2019-01-13,125.0,63.24,0.0,False,True,129376.0
E016,9,Sannikov_DmLaptev,winter,2019,2019-01-13,150.0,36.05,0.0,False,True,129376.0
E017,9,Sannikov_DmLaptev,winter,2019,2019-01-13,150.0,45.01,0.0,False,True,129376.0
E018,9,Sannikov_DmLaptev,winter,2019,2019-01-13,200.0,24.0,0.0,False,True,129376.0
E019,15,Sannikov_DmLaptev,winter,2021,2021-03-24,300.0,78.89,0.0,False,True,107982.0
