region,class,period,year,O24,O12,n_acq
AKcorr_1,intermediate,during,2022,0.0,0.0,56.0
AKcorr_1,intermediate,during,2023,0.0,0.0,51.0
AKcorr_1,intermediate,during,2024,0.0,0.0,63.0
AKcorr_1,intermediate,post,2025,0.0,0.0,84.0
AKcorr_1,intermediate,post,2026,0.0,0.0,48.0
AKcorr_1,intermediate,pre,2019,0.0,0.0,74.0
AKcorr_1,intermediate,pre,2020,0.0,0.0,71.0
AKcorr_1,intermediate,pre,2021,0.0,0.0,73.0
AKcorr_2,intermediate,during,2022,0.0,0.0,56.0
AKcorr_2,intermediate,during,2023,0.0,0.0,51.0
AKcorr_2,intermediate,during,2024,0.0,0.0,64.0
AKcorr_2,intermediate,post,2025,0.0,0.0,84.0
AKcorr_2,intermediate,post,2026,0.0,0.0,48.0
AKcorr_2,intermediate,pre,2019,0.0,0.0,75.0
AKcorr_2,intermediate,pre,2020,0.0,0.0,66.0
AKcorr_2,intermediate,pre,2021,0.0,0.0,67.0
AKcorr_3,intermediate,during,2022,0.0,0.0,81.0
AKcorr_3,intermediate,during,2023,0.0,0.0,91.0
AKcorr_3,intermediate,during,2024,0.0,0.0,84.0
AKcorr_3,intermediate,post,2025,0.09825526315789473,0.0,152.0
AKcorr_3,intermediate,post,2026,0.09000408663487677,0.0023859975934756453,86.0
AKcorr_3,intermediate,pre,2019,0.0784953947368421,0.0,124.0
AKcorr_3,intermediate,pre,2020,0.11552622950819673,0.0014478688524590163,120.0
AKcorr_3,intermediate,pre,2021,0.12430065789473682,0.0,133.0
AKcorr_4,intermediate,during,2022,0.0,0.0,81.0
AKcorr_4,intermediate,during,2023,0.0,0.0,91.0
AKcorr_4,intermediate,during,2024,0.0,0.0,84.0
AKcorr_4,intermediate,post,2025,0.0832625,0.001450657894736842,140.0
AKcorr_4,intermediate,post,2026,0.06382102589241945,0.0,69.0
AKcorr_4,intermediate,pre,2019,0.09014671052631579,0.0014526315789473684,126.0
AKcorr_4,intermediate,pre,2020,0.11555639344262295,0.0014478688524590163,120.0
AKcorr_4,intermediate,pre,2021,0.12433026315789474,0.0,133.0
AKcorr_5,intermediate,during,2022,0.0,0.0,36.0
AKcorr_5,intermediate,during,2023,0.0,0.0,41.0
AKcorr_5,intermediate,during,2024,0.0,0.0,41.0
AKcorr_5,intermediate,post,2025,0.05076052631578947,0.011530263157894738,73.0
AKcorr_5,intermediate,post,2026,0.07060303489460315,0.03277939747760595,67.0
AKcorr_5,intermediate,pre,2019,0.04432697368421053,0.0014526315789473684,52.0
AKcorr_5,intermediate,pre,2020,0.055387540983606556,0.0,65.0
AKcorr_5,intermediate,pre,2021,0.058846710526315786,0.0,61.0
AKcorr_6,lost,during,2022,0.0,0.0,35.0
AKcorr_6,lost,during,2023,0.0,0.0,40.0
AKcorr_6,lost,during,2024,0.0,0.0,40.0
AKcorr_6,lost,post,2025,0.06802960526315789,0.028839473684210526,89.0
AKcorr_6,lost,post,2026,0.07122253219840458,0.028108204465439636,68.0
AKcorr_6,lost,pre,2019,0.05906644736842105,0.02310460526315789,74.0
AKcorr_6,lost,pre,2020,0.07982918032786886,0.024441639344262297,89.0
AKcorr_6,lost,pre,2021,0.07760592105263159,0.018728947368421053,76.0
BaffinBay,intermediate,during,2022,0.042013815789473684,0.0,166.0
BaffinBay,intermediate,during,2023,0.034690789473684217,0.0,161.0
BaffinBay,intermediate,during,2024,0.04004918032786885,0.0,185.0
BaffinBay,intermediate,post,2025,0.5741960526315789,0.16661710526315787,362.0
BaffinBay,intermediate,post,2026,0.8015488346182986,0.24488655020277197,295.0
BaffinBay,intermediate,pre,2019,0.46681052631578945,0.09744276315789473,317.0
BaffinBay,intermediate,pre,2020,0.5211849180327869,0.11732360655737706,333.0
BaffinBay,intermediate,pre,2021,0.6547513157894737,0.11496578947368423,357.0
