region,year,season,dt_h,O,n_acq
AKcorr_1,2016,winter,6,0.0,4
AKcorr_1,2016,winter,12,0.0,4
AKcorr_1,2016,winter,24,0.0,4
AKcorr_1,2016,winter,48,0.0,4
AKcorr_1,2016,winter,72,0.0,4
AKcorr_1,2016,winter,168,0.0,4
AKcorr_1,2016,shoulder,6,0.0,2
AKcorr_1,2016,shoulder,12,0.0,2
AKcorr_1,2016,shoulder,24,0.0,2
AKcorr_1,2016,shoulder,48,0.0,2
AKcorr_1,2016,shoulder,72,0.0,2
AKcorr_1,2016,shoulder,168,0.0,2
AKcorr_1,2016,melt,6,0.0,3
AKcorr_1,2016,melt,12,0.0,3
AKcorr_1,2016,melt,24,0.0,3
AKcorr_1,2016,melt,48,0.0163,3
AKcorr_1,2016,melt,72,0.0163,3
AKcorr_1,2016,melt,168,0.0163,3
AKcorr_1,2016,freeze-up,6,0.0,16
AKcorr_1,2016,freeze-up,12,0.0,16
AKcorr_1,2016,freeze-up,24,0.0,16
AKcorr_1,2016,freeze-up,48,0.0216,16
AKcorr_1,2016,freeze-up,72,0.077,16
AKcorr_1,2016,freeze-up,168,0.5822,16
AKcorr_1,2017,winter,6,0.0,34
AKcorr_1,2017,winter,12,0.0,34
AKcorr_1,2017,winter,24,0.0924,34
AKcorr_1,2017,winter,48,0.1653,34
AKcorr_1,2017,winter,72,0.3662,34
AKcorr_1,2017,winter,168,0.9395,34
AKcorr_1,2017,shoulder,6,0.0,22
AKcorr_1,2017,shoulder,12,0.0,22
AKcorr_1,2017,shoulder,24,0.0815,22
AKcorr_1,2017,shoulder,48,0.2456,22
AKcorr_1,2017,shoulder,72,0.3923,22
AKcorr_1,2017,shoulder,168,0.9342,22
AKcorr_1,2017,melt,6,0.0,21
AKcorr_1,2017,melt,12,0.0,21
AKcorr_1,2017,melt,24,0.0,21
AKcorr_1,2017,melt,48,0.0,21
AKcorr_1,2017,melt,72,0.0,21
AKcorr_1,2017,melt,168,0.9836,21
AKcorr_1,2017,freeze-up,6,0.0,15
AKcorr_1,2017,freeze-up,12,0.0,15
AKcorr_1,2017,freeze-up,24,0.0,15
AKcorr_1,2017,freeze-up,48,0.0,15
AKcorr_1,2017,freeze-up,72,0.0,15
AKcorr_1,2017,freeze-up,168,0.9131,15
AKcorr_1,2018,winter,6,0.0,15
AKcorr_1,2018,winter,12,0.0,15
AKcorr_1,2018,winter,24,0.0,15
AKcorr_1,2018,winter,48,0.0,15
AKcorr_1,2018,winter,72,0.0,15
AKcorr_1,2018,winter,168,0.9333,15
AKcorr_1,2018,shoulder,6,0.0,10
AKcorr_1,2018,shoulder,12,0.0,10
AKcorr_1,2018,shoulder,24,0.0,10
AKcorr_1,2018,shoulder,48,0.0,10
AKcorr_1,2018,shoulder,72,0.0,10
AKcorr_1,2018,shoulder,168,0.869,10
AKcorr_1,2018,melt,6,0.0,28
AKcorr_1,2018,melt,12,0.0,28
AKcorr_1,2018,melt,24,0.0,28
AKcorr_1,2018,melt,48,0.1304,28
AKcorr_1,2018,melt,72,0.1304,28
AKcorr_1,2018,melt,168,0.91,28
AKcorr_1,2018,freeze-up,6,0.0,22
AKcorr_1,2018,freeze-up,12,0.0,22
