region,year,season,n_acq,window_h,partial,med_gap_h,p90_gap_h,drift_pairs,n_S1A,n_S1B,n_S1C,n_S1D,O6,O12,O24,O48,O72,O168
AKcorr_1,2016,winter,4,2184.0,0,288.0,1209.61,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AKcorr_1,2016,shoulder,2,1464.0,0,576.0,576.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AKcorr_1,2016,melt,3,2928.0,0,534.55,924.01,1,1,2,0,0,0.0,0.0,0.0,0.0163,0.0163,0.0163
AKcorr_1,2016,freeze-up,16,2208.0,0,120.14,215.59,3,0,16,0,0,0.0,0.0,0.0,0.0216,0.077,0.5822
AKcorr_1,2017,winter,34,2160.0,0,59.03,106.76,27,6,28,0,0,0.0,0.0,0.0924,0.1653,0.3662,0.9395
AKcorr_1,2017,shoulder,22,1464.0,0,47.74,120.14,18,15,7,0,0,0.0,0.0,0.0815,0.2456,0.3923,0.9342
AKcorr_1,2017,melt,21,2928.0,0,144.0,167.86,0,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9836
AKcorr_1,2017,freeze-up,15,2208.0,0,144.0,167.86,0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9131
AKcorr_1,2018,winter,15,2160.0,0,144.0,167.86,0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9333
AKcorr_1,2018,shoulder,10,1464.0,0,120.14,167.86,0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.869
AKcorr_1,2018,melt,28,2928.0,0,72.4,167.86,8,28,0,0,0,0.0,0.0,0.0,0.1304,0.1304,0.91
AKcorr_1,2018,freeze-up,22,2208.0,0,72.4,167.86,6,22,0,0,0,0.0,0.0,0.0,0.1297,0.1297,0.8698
AKcorr_1,2019,winter,22,2160.0,0,72.4,167.86,7,22,0,0,0,0.0,0.0,0.0,0.1547,0.1547,0.9333
AKcorr_1,2019,shoulder,15,1464.0,0,72.4,167.86,5,15,0,0,0,0.0,0.0,0.0,0.163,0.163,0.9342
AKcorr_1,2019,melt,31,2928.0,0,72.4,167.86,10,31,0,0,0,0.0,0.0,0.0,0.163,0.163,0.9836
AKcorr_1,2019,freeze-up,21,2208.0,0,72.4,167.86,7,21,0,0,0,0.0,0.0,0.0,0.1513,0.1513,0.8042
AKcorr_1,2020,winter,25,2184.0,0,72.4,167.86,8,23,2,0,0,0.0,0.0,0.0,0.1749,0.1749,0.9781
AKcorr_1,2020,shoulder,12,1464.0,0,120.14,167.86,2,12,0,0,0,0.0,0.0,0.0,0.0652,0.0652,0.869
AKcorr_1,2020,melt,25,2928.0,0,102.56,167.86,4,22,3,0,0,0.0,0.0,0.0,0.0652,0.0652,0.8279
AKcorr_1,2020,freeze-up,21,2208.0,0,72.4,167.86,5,21,0,0,0,0.0,0.0,0.0,0.1081,0.1081,0.8698
AKcorr_1,2021,winter,21,2160.0,0,72.4,167.86,7,21,0,0,0,0.0,0.0,0.0,0.1547,0.1547,0.8556
AKcorr_1,2021,shoulder,14,1464.0,0,120.14,167.86,3,14,0,0,0,0.0,0.0,0.0,0.0978,0.0978,0.9836
AKcorr_1,2021,melt,25,2928.0,0,120.14,167.86,3,23,2,0,0,0.0,0.0,0.0,0.0489,0.0489,0.8689
AKcorr_1,2021,freeze-up,27,2208.0,0,72.4,126.43,8,23,4,0,0,0.0,0.0,0.0,0.173,0.173,0.9347
AKcorr_1,2022,winter,21,2160.0,0,72.4,167.86,6,21,0,0,0,0.0,0.0,0.0,0.1326,0.1326,0.9333
AKcorr_1,2022,shoulder,10,1464.0,0,120.14,167.86,0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.869
AKcorr_1,2022,melt,20,2928.0,0,120.14,167.86,0,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9263
AKcorr_1,2022,freeze-up,15,2208.0,0,144.0,167.86,1,15,0,0,0,0.0,0.0,0.0,0.0216,0.0216,0.8042
AKcorr_1,2023,winter,15,2160.0,0,144.0,167.86,0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9333
AKcorr_1,2023,shoulder,10,1464.0,0,120.14,167.86,0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.869
AKcorr_1,2023,melt,21,2928.0,0,144.0,167.86,0,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9836
AKcorr_1,2023,freeze-up,15,2208.0,0,144.0,167.86,0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9131
AKcorr_1,2024,winter,18,2184.0,0,72.4,196.82,6,18,0,0,0,0.0,0.0,0.0,0.1311,0.1311,0.6043
AKcorr_1,2024,shoulder,12,1464.0,0,120.14,167.86,3,12,0,0,0,0.0,0.0,0.0,0.0978,0.0978,0.7374
AKcorr_1,2024,melt,24,2928.0,0,120.14,167.86,5,24,0,0,0,0.0,0.0,0.0,0.0815,0.0815,0.8032
AKcorr_1,2024,freeze-up,21,2208.0,0,72.4,167.86,6,21,0,0,0,0.0,0.0,0.0,0.1297,0.1297,0.8154
AKcorr_1,2025,winter,22,2160.0,0,72.4,167.86,8,22,0,0,0,0.0,0.0,0.0,0.1768,0.1768,0.8442
AKcorr_1,2025,shoulder,19,1464.0,0,82.87,120.14,7,13,0,6,0,0.0,0.0,0.0,0.1967,0.1967,0.927
AKcorr_1,2025,melt,32,2928.0,0,84.99,120.14,3,23,0,9,0,0.0,0.0,0.0,0.0489,0.0489,0.9546
AKcorr_1,2025,freeze-up,30,2208.0,0,72.4,84.99,8,24,0,6,0,0.0,0.0,0.0,0.173,0.173,0.9675
AKcorr_1,2026,winter,27,2160.0,0,82.87,84.99,6,19,0,8,0,0.0,0.0,0.0,0.1326,0.1326,0.8394
AKcorr_1,2026,shoulder,22,1464.0,0,47.74,84.99,19,9,0,5,8,0.0,0.0,0.0365,0.265,0.265,0.5918
AKcorr_1,2026,melt,21,2327.8,1,84.98,122.52,1,0,0,7,14,0.0,0.0,0.0,0.0103,0.0103,0.7789
AKcorr_2,2016,winter,6,2184.0,0,288.0,460.8,0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AKcorr_2,2016,shoulder,3,1464.0,0,432.0,547.2,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AKcorr_2,2016,melt,3,2928.0,0,359.99,532.8,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0492
AKcorr_2,2016,freeze-up,14,2208.0,0,120.14,278.45,7,0,14,0,0,0.0,0.0,0.0121,0.0493,0.077,0.3646
AKcorr_2,2017,winter,31,2160.0,0,61.1,108.1,24,6,25,0,0,0.0,0.0,0.0924,0.1476,0.2656,0.7294
AKcorr_2,2017,shoulder,20,1464.0,0,71.59,129.68,10,15,5,0,0,0.0,0.0,0.0815,0.1467,0.2934,0.9342
AKcorr_2,2017,melt,21,2928.0,0,144.0,167.86,0,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9836
