region,cell,p10,n_days
BeringChukchi,42,-0.10228655356168737,54
BeringChukchi,43,-0.10228655356168737,54
BeringChukchi,44,-0.10228655356168737,54
BeringChukchi,45,-0.10483403921127314,47
BeringChukchi,46,-0.10483403921127314,47
BeringChukchi,55,-0.10228655356168737,54
BeringChukchi,56,-0.10228655356168737,54
BeringChukchi,57,-0.10228655356168737,54
BeringChukchi,58,-0.10483403921127314,47
BeringChukchi,59,-0.10483403921127314,47
BeringChukchi,69,-0.12207093757390974,58
BeringChukchi,70,-0.12207093757390974,58
BeringChukchi,71,-0.12207093757390974,58
BeringChukchi,72,-0.11034888000488277,929
BeringChukchi,73,-0.11034888000488277,929
BeringChukchi,82,-0.12207093757390974,58
BeringChukchi,83,-0.12207093757390974,58
BeringChukchi,84,-0.12207093757390974,58
BeringChukchi,85,-0.11034888000488277,929
BeringChukchi,86,-0.11034888000488277,929
BeringChukchi,95,-0.12207093757390974,58
BeringChukchi,96,-0.12207093757390974,58
BeringChukchi,97,-0.12207093757390974,58
BeringChukchi,98,-0.11034888000488277,929
BeringChukchi,99,-0.11034888000488277,929
BeringChukchi,108,-0.08697215667366975,56
BeringChukchi,109,-0.08697215667366975,56
BeringChukchi,110,-0.08697215667366975,56
BeringChukchi,111,-0.08801903133392326,947
BeringChukchi,112,-0.08801903133392326,947
BeringChukchi,121,-0.08697215667366975,56
BeringChukchi,122,-0.08697215667366975,56
BeringChukchi,123,-0.08697215667366975,56
BeringChukchi,124,-0.08801903133392326,947
BeringChukchi,125,-0.08801903133392326,947
BeringChukchi,131,-0.08425756406784055,56
BeringChukchi,132,-0.08425756406784055,56
BeringChukchi,133,-0.10863013038635252,1008
BeringChukchi,134,-0.10863013038635252,1008
BeringChukchi,135,-0.10863013038635252,1008
BeringChukchi,136,-0.10279307286739343,999
BeringChukchi,137,-0.10279307286739343,999
BeringChukchi,138,-0.07429438388347619,158
BeringChukchi,139,-0.07429438388347619,158
BeringChukchi,140,-0.07429438388347619,158
BeringChukchi,141,-0.08425756406784055,56
BeringChukchi,142,-0.10863013038635252,1008
BeringChukchi,143,-0.10863013038635252,1008
BeringChukchi,144,-0.10863013038635252,1008
BeringChukchi,145,-0.10279307286739343,999
BeringChukchi,146,-0.10279307286739343,999
BeringChukchi,147,-0.07429438388347619,158
BeringChukchi,148,-0.07429438388347619,158
BeringChukchi,149,-0.10863013038635252,1008
BeringChukchi,150,-0.10863013038635252,1008
BeringChukchi,151,-0.10863013038635252,1008
BeringChukchi,152,-0.10279307286739343,999
BeringChukchi,153,-0.10279307286739343,999
BeringChukchi,154,-0.07429438388347619,158
BeringChukchi,155,-0.07429438388347619,158
BeringChukchi,156,-0.14896135864257812,1042
BeringChukchi,157,-0.1326042957305908,1071
BeringChukchi,158,-0.1326042957305908,1071
BeringChukchi,159,-0.0866664609909057,1091
BeringChukchi,160,-0.1326042957305908,1071
BeringChukchi,161,-0.1326042957305908,1071
KaraGate,1,-0.0658217296600341,26
LongStrait,40,-0.06990460389221548,128
LongStrait,41,-0.06990460389221548,128
LongStrait,44,-0.06990460389221548,128
Sannikov_DmLaptev,4,-0.057376648795604654,133
Sannikov_DmLaptev,5,-0.057376648795604654,133
Sannikov_DmLaptev,6,-0.057376648795604654,133
