region,season,year,n_conv,hof24,hof12
BeringChukchi,freeze-up,2015,21,0.0,0.0
BeringChukchi,freeze-up,2016,27,0.5925925925925926,0.5555555555555556
BeringChukchi,freeze-up,2017,1,1.0,0.0
BeringChukchi,freeze-up,2018,39,0.5641025641025641,0.2564102564102564
BeringChukchi,freeze-up,2019,47,0.40425531914893614,0.1276595744680851
BeringChukchi,freeze-up,2020,48,0.875,0.4791666666666667
BeringChukchi,freeze-up,2021,167,0.46107784431137727,0.2754491017964072
BeringChukchi,freeze-up,2022,64,0.421875,0.28125
BeringChukchi,freeze-up,2023,62,0.1774193548387097,0.016129032258064516
BeringChukchi,freeze-up,2024,65,0.8923076923076924,0.18461538461538463
BeringChukchi,freeze-up,2025,227,0.7665198237885462,0.5903083700440529
BeringChukchi,melt,2023,6,0.0,0.0
BeringChukchi,melt,2024,2,0.0,0.0
BeringChukchi,melt,2025,14,0.42857142857142855,0.42857142857142855
BeringChukchi,shoulder,2023,4,0.0,0.0
BeringChukchi,winter,2016,222,0.05405405405405406,0.02702702702702703
BeringChukchi,winter,2017,225,0.7688888888888888,0.6088888888888889
BeringChukchi,winter,2018,206,0.6019417475728155,0.39805825242718446
BeringChukchi,winter,2019,477,0.6750524109014675,0.42138364779874216
BeringChukchi,winter,2020,188,0.6542553191489362,0.3617021276595745
BeringChukchi,winter,2021,272,0.7316176470588235,0.41544117647058826
BeringChukchi,winter,2022,107,0.7383177570093458,0.4485981308411215
BeringChukchi,winter,2023,269,0.43866171003717475,0.2342007434944238
BeringChukchi,winter,2024,230,0.39565217391304347,0.24782608695652175
BeringChukchi,winter,2025,375,0.632,0.256
KaraGate,winter,2025,3,0.6666666666666666,0.3333333333333333
LongStrait,freeze-up,2025,24,0.9166666666666666,0.5833333333333334
LongStrait,melt,2025,6,1.0,0.0
LongStrait,winter,2025,9,0.5555555555555556,0.1111111111111111
Sannikov_DmLaptev,freeze-up,2025,36,0.5833333333333334,0.25
Sannikov_DmLaptev,melt,2025,3,1.0,1.0
Sannikov_DmLaptev,shoulder,2025,3,1.0,0.0
