pair,region,season,year,dt_h,n_nodes,n_success,rate,n_feat
0,Vilkitsky,freeze-up,2020,47.7,1024,475,0.464,533
1,Vilkitsky,winter,2019,23.8,1217,797,0.655,145
2,Sannikov_DmLaptev,freeze-up,2020,47.7,1209,441,0.365,197
3,Sannikov_DmLaptev,winter,2019,23.9,3065,2593,0.846,2274
4,LongStrait,freeze-up,2019,47.7,2061,850,0.412,96
5,LongStrait,winter,2019,47.7,2088,1002,0.48,558
6,Vilkitsky,freeze-up,2021,47.7,1026,395,0.385,433
7,Vilkitsky,winter,2019,23.8,1217,1007,0.827,217
8,Sannikov_DmLaptev,freeze-up,2020,47.7,1233,456,0.37,116
9,Sannikov_DmLaptev,winter,2019,23.9,3064,2659,0.868,2529
10,LongStrait,freeze-up,2019,47.7,2072,850,0.41,241
11,LongStrait,winter,2019,47.7,2088,997,0.477,546
12,Vilkitsky,freeze-up,2020,47.7,1020,397,0.389,479
13,Vilkitsky,winter,2021,47.7,1025,468,0.457,476
14,Sannikov_DmLaptev,freeze-up,2021,47.7,1166,489,0.419,164
15,Sannikov_DmLaptev,winter,2021,47.7,1231,766,0.622,319
16,LongStrait,freeze-up,2020,47.7,1913,834,0.436,88
17,LongStrait,winter,2020,47.7,2088,1032,0.494,397
18,Vilkitsky,freeze-up,2021,47.7,1202,323,0.269,236
19,Vilkitsky,winter,2021,47.7,1033,572,0.554,400
