region,season,year,H_ge1,H_1to3,H_ge3,H_ge5
BeringChukchi,freeze-up,2016,0.0588,0.0428,0.1153,0.153
BeringChukchi,freeze-up,2017,0.064,0.0462,0.1268,0.1697
BeringChukchi,freeze-up,2018,0.0803,0.0582,0.1585,0.2114
BeringChukchi,freeze-up,2019,0.096,0.0697,0.1886,0.2507
BeringChukchi,freeze-up,2020,0.0856,0.0621,0.1683,0.224
BeringChukchi,freeze-up,2021,0.097,0.0704,0.1908,0.2539
BeringChukchi,freeze-up,2022,0.0528,0.0379,0.1052,0.1415
BeringChukchi,freeze-up,2023,0.0566,0.0407,0.1127,0.1515
BeringChukchi,freeze-up,2024,0.0642,0.0461,0.1277,0.1717
BeringChukchi,freeze-up,2025,0.1109,0.0813,0.2153,0.2837
BeringChukchi,melt,2016,0.0174,0.012,0.0345,0.049
BeringChukchi,melt,2017,0.0574,0.0398,0.1131,0.1597
BeringChukchi,melt,2018,0.0639,0.0444,0.1257,0.1771
BeringChukchi,melt,2019,0.0747,0.0521,0.1465,0.2057
BeringChukchi,melt,2020,0.0626,0.0436,0.1229,0.1728
BeringChukchi,melt,2021,0.0676,0.0471,0.1328,0.1868
BeringChukchi,melt,2022,0.0412,0.0284,0.0816,0.1161
BeringChukchi,melt,2023,0.0434,0.0299,0.086,0.1223
BeringChukchi,melt,2024,0.0443,0.0306,0.0878,0.1248
BeringChukchi,melt,2025,0.0808,0.0565,0.1579,0.2207
BeringChukchi,melt,2026,0.0719,0.0505,0.14,0.1943
BeringChukchi,winter,2016,0.0145,0.0097,0.0405,0.0485
BeringChukchi,winter,2017,0.0797,0.0546,0.2162,0.2528
BeringChukchi,winter,2018,0.0483,0.0324,0.1346,0.1604
BeringChukchi,winter,2019,0.0709,0.0477,0.1967,0.2333
BeringChukchi,winter,2020,0.0711,0.0479,0.197,0.2334
BeringChukchi,winter,2021,0.0721,0.0485,0.1998,0.2367
BeringChukchi,winter,2022,0.0521,0.0349,0.1459,0.1746
