region,planned_pre,planned_post,acquired_pre,acquired_post
AKcorr_5,274.3333333333333,428,59.333333333333336,83.83233532934132
AKcorr_2,425.6666666666667,633,69.33333333333333,79.04191616766468
BeringChukchi,438.6666666666667,652,88.66666666666667,98.80239520958084
Vilkitsky,494.6666666666667,721,100.0,110.17964071856288
AKcorr_1,498.6666666666667,688,72.66666666666667,79.04191616766468
LongStrait,539.3333333333334,552,102.33333333333333,104.19161676646706
Sannikov_DmLaptev,570.0,509,100.0,63.473053892215574
AKcorr_6,626.6666666666666,777,79.66666666666667,94.0119760479042
AKcorr_3,717.0,1059,125.66666666666667,142.51497005988026
AKcorr_4,723.0,958,126.33333333333333,125.1497005988024
KaraGate,927.3333333333334,796,168.33333333333334,126.34730538922156
VictoriaStrait,1085.6666666666667,1075,187.66666666666666,173.05389221556888
Barents_Svalbard,1710.0,961,353.6666666666667,164.67065868263472
BaffinBay,1828.3333333333333,2361,335.6666666666667,393.41317365269464
LancasterSound,1903.0,1786,323.6666666666667,271.25748502994014
GreenlandSea_Fram,2920.6666666666665,2649,526.6666666666666,387.4251497005988
