pair,region,season,year,dt_h,n_vpair,conv_frac,mag_med,mag_p90,mag_max,frac_ge3,frac_ge5,rate_p10
pair00.npz,Vilkitsky,freeze-up,2020,47.7,15346,0.079,0.141,0.732,6.52,0.001,0.0001,0.0
pair01.npz,Vilkitsky,winter,2019,23.8,9818,0.424,0.199,4.643,8.352,0.0739,0.0335,-1.889
pair02.npz,Sannikov_DmLaptev,freeze-up,2020,47.7,14047,0.152,0.107,0.191,5.199,0.0005,0.0003,-0.039
pair03.npz,Sannikov_DmLaptev,winter,2019,23.9,5551,0.145,0.182,0.28,1.397,0.0,0.0,-0.128
pair04.npz,LongStrait,freeze-up,2019,47.7,11813,0.323,0.185,0.379,4.861,0.001,0.0,-0.1
pair05.npz,LongStrait,winter,2019,47.7,11156,0.355,0.187,0.388,7.63,0.0027,0.0008,-0.101
pair06.npz,Vilkitsky,freeze-up,2021,47.7,15208,0.052,0.456,4.882,7.804,0.0108,0.0049,0.0
pair07.npz,Vilkitsky,winter,2019,23.8,10223,0.418,0.136,0.277,0.519,0.0,0.0,-0.196
pair08.npz,Sannikov_DmLaptev,freeze-up,2020,47.7,13202,0.16,0.128,0.573,6.945,0.0071,0.0045,-0.05
pair09.npz,Sannikov_DmLaptev,winter,2019,23.9,5653,0.144,0.176,0.277,0.447,0.0,0.0,-0.12
pair10.npz,LongStrait,freeze-up,2019,47.7,12085,0.314,0.181,0.353,2.002,0.0,0.0,-0.1
pair11.npz,LongStrait,winter,2019,47.7,11078,0.355,0.19,0.391,8.022,0.0047,0.0031,-0.101
pair12.npz,Vilkitsky,freeze-up,2020,47.7,15623,0.059,0.545,5.859,10.63,0.0178,0.0109,0.0
pair13.npz,Vilkitsky,winter,2021,47.7,14724,0.045,0.089,1.906,7.198,0.003,0.0004,0.0
pair14.npz,Sannikov_DmLaptev,freeze-up,2021,47.7,13462,0.165,0.116,0.197,5.6,0.0024,0.0015,-0.047
pair15.npz,Sannikov_DmLaptev,winter,2021,47.7,10648,0.216,0.133,0.256,0.556,0.0,0.0,-0.071
pair16.npz,LongStrait,freeze-up,2020,47.7,11836,0.237,0.183,0.375,5.009,0.0012,0.0002,-0.097
pair17.npz,LongStrait,winter,2020,47.7,10728,0.366,0.188,0.39,5.532,0.0027,0.0003,-0.106
pair18.npz,Vilkitsky,freeze-up,2021,47.7,16805,0.789,0.256,0.54,7.798,0.0123,0.0087,-0.242
pair19.npz,Vilkitsky,winter,2021,47.7,11943,0.133,1.722,5.796,7.049,0.0543,0.0265,-0.127
